FIPS,MedianIncome2011,MedianIncome2012,MedianIncome2013,MedianIncome2014,MedianIncome2015,MedianIncome2016,MedianIncome2017,MedianIncome2018
2164,"47,612","44,657","43,936","45,570","42,120","44,310","47,644","49,403"
2170,"68,999","68,109","72,371","73,981","76,601","71,793","72,296","74,649"
2180,"44,766","47,022","46,471","47,160","52,952","55,974","53,877","55,318"
2185,"73,744","69,138","74,174","75,682","70,834","74,998","82,736","89,276"
2188,"54,680","52,945","54,600","65,192","53,774","53,692","53,060","59,337"
2195,"54,434","57,728","58,176","56,655","63,098","60,540","59,176","66,075"
2198,"42,649","44,721","48,175","43,245","45,305","48,888","46,488","49,356"
2220,"61,956","61,771","66,038","65,765","68,472","72,795","69,501","71,825"
2230,"61,025","65,379","63,930","69,170","65,878","65,112","66,991","74,635"
2240,"55,617","56,456","54,922","59,641","60,203","59,412","59,382","63,527"
2261,"63,887","65,098","63,541","73,998","70,101","69,755","86,196","68,528"
2270,"33,206","32,860","31,274","30,877",,,,
2275,"43,120","47,373","49,039","52,201","54,500","56,747","55,696","57,832"
2282,"47,575","47,565","56,365","52,595","53,795","57,687","59,955","59,523"
2290,"33,578","33,998","35,114","36,708","37,755","37,906","37,907","38,912"
4000,"46,710","47,796","48,504","50,036","51,473","53,481","56,508","59,079"
4001,"30,837","32,886","30,252","32,366","31,072","34,040","33,053","33,652"
4003,"41,237","43,017","45,294","45,025","43,451","45,151","48,966","49,164"
4005,"45,051","45,509","48,732","48,653","51,955","53,643","54,399","60,187"
4007,"35,898","38,267","39,868","37,677","41,346","40,747","38,897","43,585"
4009,"40,548","41,080","43,497","46,046","44,169","46,714","46,378","50,157"
4011,"51,145","53,312","54,673","59,416","58,854","61,110","63,557","65,818"
4012,"30,679","35,236","33,994","32,533","34,835","34,285","36,389","37,350"
4013,"50,785","51,442","52,066","53,929","56,017","58,742","62,221","65,234"
4015,"35,998","34,966","38,560","37,704","40,360","42,003","42,210","45,129"
4017,"32,425","34,662","37,182","35,457","37,658","37,440","40,883","40,650"
4019,"44,102","44,745","43,926","45,871","47,107","47,644","51,392","53,395"
4021,"45,170","50,362","49,887","49,876","50,888","52,642","53,114","58,848"
4023,"35,500","36,660","35,753","37,465","34,893","39,090","39,265","40,545"
4025,"41,437","43,397","40,486","44,145","47,220","49,824","49,860","48,758"
4027,"37,894","39,072","40,498","39,700","40,426","42,998","46,013","44,116"
5000,"38,889","40,151","40,605","41,335","42,046","44,406","45,916","47,094"
5001,"37,922","37,907","38,497","36,409","41,179","39,726","43,752","43,887"
5003,"37,170","39,276","36,479","36,176","39,871","41,277","40,495","41,127"
5005,"33,312","35,315","36,082","37,873","36,902","40,147","43,011","39,686"
5007,"52,644","52,717","56,518","57,408","60,294","64,072","64,728","68,978"
5009,"38,411","35,848","38,410","39,779","40,909","39,881","41,770","44,482"
5011,"31,118","31,940","31,733","32,734","37,331","34,114","35,950","37,729"
5013,"35,464","36,216","37,497","39,493","40,526","33,507","42,484","44,969"
5015,"33,579","34,096","34,109","36,964","37,587","37,145","38,297","45,023"
5017,"27,966","26,911","28,006","29,541","29,968","29,527","31,810","31,787"
5019,"34,478","34,482","36,517","38,504","37,856","37,247","40,536","45,408"
5021,"32,564","32,642","33,488","33,826","35,324","36,037","35,164","37,687"
5023,"42,265","41,337","41,612","40,555","43,913","42,397","43,170","44,902"
5025,"41,864","41,338","42,414","43,201","44,123","45,256","47,812","47,600"
5027,"33,533","35,024","36,927","37,495","38,057","35,322","38,488","40,909"
5029,"37,830","35,832","38,145","42,348","43,702","41,892","43,519","44,565"
5031,"39,410","42,437","41,608","42,851","42,460","44,091","49,355","45,615"
5033,"37,552","39,367","39,384","43,466","46,545","42,941","44,850","47,363"
5035,"34,905","36,588","37,726","35,455","37,371","37,627","39,272","42,606"
5037,"35,268","35,839","35,438","38,597","39,132","40,970","41,661","41,214"
5039,"30,728","30,984","32,591","34,018","33,352","33,679","33,739","37,259"
5041,"30,186","30,298","30,241","33,028","30,987","32,392","33,228","36,132"
5043,"35,627","33,682","35,249","36,801","39,339","40,441","41,339","42,494"
5045,"49,314","49,843","49,936","51,436","51,157","50,909","51,535","53,882"
5047,"38,245","39,763","38,874","40,404","41,933","40,091","41,140","43,696"
5049,"33,696","31,988","33,439","33,347","34,717","33,451","35,723","35,630"
5051,"35,651","39,617","39,057","40,621","37,723","42,087","44,662","43,610"
5053,"46,538","47,421","47,089","46,067","47,652","54,411","54,819","52,050"
5055,"37,893","38,771","40,840","42,572","43,996","45,208","46,029","46,512"
5057,"30,922","32,292","33,715","33,136","34,560","38,769","39,505","38,682"
5059,"38,082","41,754","39,927","37,831","39,851","46,313","42,329","47,205"
5061,"33,079","33,049","32,740","37,336","33,199","36,166","36,744","40,199"
5063,"34,690","37,818","37,761","41,085","38,241","42,520","42,332","45,596"
5065,"31,245","29,663","33,308","32,744","35,355","36,987","37,958","37,828"
5067,"32,750","30,604","32,923","32,427","32,571","35,098","36,235","36,573"
5069,"37,704","36,346","36,169","35,927","36,990","38,485","38,677","38,596"
5071,"34,182","34,322","33,634","34,923","35,877","37,205","39,798","39,381"
5073,"30,057","28,857","30,642","32,225","33,864","32,288","33,378","35,527"
5075,"32,678","29,229","34,740","34,916","34,808","39,015","40,777","40,308"
5077,"27,894","26,046","27,068","28,006","28,481","26,912","28,875","28,080"
5079,"35,854","36,222","36,062","37,644","40,216","35,419","43,821","44,951"
5081,"38,937","35,406","36,310","37,691","39,265","43,567","42,063","43,559"
5083,"34,000","33,850","34,090","36,391","37,924","39,361","37,676","41,471"
5085,"49,579","51,212","55,648","54,459","56,240","56,247","54,378","56,651"
5087,"34,292","33,428","36,358","39,158","41,007","39,059","40,568","42,674"
5089,"32,685","31,516","34,217","33,181","34,946","33,950","39,539","36,581"
5091,"37,728","38,225","40,005","40,877","39,005","38,412","44,325","42,162"
5093,"33,426","34,058","34,285","33,577","34,888","35,846","39,678","36,718"
5095,"27,758","29,032","29,870","30,682","30,801","32,906","32,427","32,922"
5097,"31,603","32,779","31,763","34,597","37,813","36,435","35,500","38,318"
